long,lat,nombre_centro,calle,altura,piso_dpto,barrio,comuna
-58.381791,-34.617597,UPSA - VOLAR,AV. INDEPENDENCIA,1111,,Monserrat,1
-58.391271,-34.60791,TIEMPO DE ENCUENTRO,BARTOLOME MITRE,1741,,San Nicolas,1
-58.375528,-34.622967,NUEVOS HORIZONTES,CHACABUCO,1294,,San Telmo,1
-58.375627,-34.621723,EL PORVENIR DE SAN TELMO,CHACABUCO,1174,,San Telmo,1
-58.385163,-34.62358,BIENVENIDOS,COCHABAMBA,1360,,Constitución,1
-58.379144,-34.618551,APEJURA ASOC DE PENS Y JUB DE LA REPUBLICA ARGENTINA ASOCIACION CIVIL,ESTADOS UNIDOS,924,,Constitución,1
-58.372144,-34.624206,SAN PEDRO TELMO,GARAY  JUAN DE AV.,463,,San Telmo,1
-58.383009,-34.623487,ASOC CIVIL CENTRO DE JUB GASTRONOMICOS,SALTA,1301,,Constitución,1
-58.386195,-34.61159,18 DE ABRIL,SAN JOSE,243,,Monserrat,1
-58.389026,-34.615141,MIS MEJORES AÑOS,VIRREY CEVALLOS,549,,Monserrat,1
-58.388987,-34.617263,LA PUESTA DEL SOL,VIRREY CEVALLOS,742,,Monserrat,1
-58.403552,-34.587601,BARRIO NORTE,AUSTRIA,2156,,Recoleta,2
-58.414804,-34.579511,CENTRO DE LA TERCERA EDAD MANANTIAL,CABELLO,3958,,Palermo,14
-58.412265,-34.599794,JARDIN DE LA AMISTAD,GALLO,830,,Almagro,5
-58.407723,-34.620325,LA EXPERIENCIA,LA RIOJA,847,,San Cristobal,3
-58.407365,-34.621772,HIPOLITO YRIGOYEN,LA RIOJA,982,,San Cristobal,3
-58.402508,-34.599549,RENOVACION,LARREA,782,,Balvanera,3
-58.403736,-34.628248,ASOC CIVIL ARCO IRIS DE SAN CRISTOBAL,LUCA ESTEBAN DE,1535,,San Cristobal,3
-58.466176,-34.606691,SIMONA VERON,MARGARI,1828,,Villa General Mitre,11
-58.394465,-34.612893,RINCON DE LA ALEGRIA,MORENO,1986,,Balvanera,3
-58.40628,-34.621891,ALFREDO PICARDI,CARLOS CALVO,2902,,San Cristobal,3
-58.396456,-34.629923,DOÑA ROSA,PICHINCHA,1763,,Parque Patricios,4
-58.399305,-34.614826,JORGA SALOMÓN,PICHINCHA,467,,Balvanera,3
-58.411257,-34.6004,CIUDAD DE BUENOS AIRES,TUCUMAN,3231,,Balvanera,3
-58.410062,-34.656398,LOS DORADOS A�OS,ALBERTO EINSTEIN,1022,,Nueva Pompeya,4
-58.393916,-34.651501,JUVENTUD UNIDA,AV IRIARTE,3276,,Barracas,4
-58.373551,-34.644939,PARA LA TERCERA EDAD SANTA LUCIA,AV MONTES DE OCA,1517,,BARRACAS,4
-58.368729,-34.644153,DE LOS PATRICIOS,AV. DE LOS PATRICIOS,1537,,Barracas,4
-58.384408,-34.646256,LA NUEVA ESPERANZA DE BARRACAS,Australia,2642,,Barracas,4
-58.361408,-34.629978,RIBERA SUR,BLANES,295,,LA BOCA,4
-58.382655,-34.649047,ENRIQUE PAVON PEREYRA,CALIFORNIA,2587,,Barracas,4
-58.415176,-34.656064,DEL SUR,AV ALCORTA,4007,,Nueva Pompeya,4
-58.42472,-34.642248,P. PATRICIOS- NUEVA POMPEYA- ASOCIACION CIVIL,CHILAVERT  MARTINIANO CNEL,1175,,Nueva Pompeya,4
-58.401079,-34.638726,POMPEYA-PARQUE DE LOS PATRICIOS,USPALLATA,2775,,Parque Patricios,4
-58.431553,-34.645695,ABUELOS DEL RIESTRA,DEL BA,2359,,Nueva Pompeya,4
-58.428789,-34.647451,NUEVA ARGENTINA,DEL BARCO CENTENERA,2574,,Nueva Pompeya,4
-58.362521,-34.638284,DIGNIDAD,"VALLE IBERLUCEA del, Dr.",1149,,La Boca,4
-58.364404,-34.637093,BENITO QUINQUELA MARTIN,FILIBERTO J  DE DIOS,962,,La Boca,4
-58.398749,-34.651079,ROBUSTIANA SAN MARTIN,IRIARTE,3700,,Barracas,4
-58.373055,-34.639853,DE LA INDUSTRIA DEL GAS POR NUESTROS DERECHOS,ISABEL LA CATOLICA,832,,Barracas,4
-58.433762,-34.646105,6 DE ENERO,JANER ANA MARIA,1836,,Nueva Pompeya,4
-58.406318,-34.631556,ESPERANZA VIVA,LA RIOJA,1777,,PARQUE PATRICIOS,4
-58.386912,-34.63019,PLAZA CONSTITUCION,LUIS SAENZ PE,1805,,Constitución,1
-58.429059,-34.654739,ETERNA PRIMAVERA,MATANZA,3030,,Nueva Pompeya,4
-58.397501,-34.63147,ALMAFUERTE,MATHEU,1863,,Parque Patricios,4
-58.364338,-34.628143,CATALINAS SUR,NECOCHEA,312,,La Boca,4
-58.367924,-34.638922,PADRE FEDERICO GROTE,OLAVARRIA,1101,,La Boca,4
-58.362621,-34.635026,CENTRO CULTURAL ACTUARTE,PALOS,424,,La Boca,4
-58.395782,-34.625061,PRIMAVERA,PASCO,1358,,San Cristobal,3
-58.362059,-34.634602,ADULTOS MAYORES AVE FENIX,PINZON,546,,La Boca,4
-58.380182,-34.645275,LOS PEQUENOS GRANDES,QUINQUELA MARTIN BENITO,2256,,BARRACAS,4
-58.43307,-34.645313,EL REGRESO,RIESTRA AV.,1669,,Parque Chacabuco,7
-58.361145,-34.634578,JUAN DE DIOS FILIBERTO,RODRIGUEZ MARTIN,732,,La Boca,4
-58.367988,-34.648843,HUGO DEL CARRIL,AV. PATRICIOS,1941,,Barracas,4
-58.424894,-34.613621,ALMAGRO-BOEDO,ORIENTALES,33,,BOEDO,5
-58.400647,-34.621527,PUERTA ABIERTA A LA DIVERSIDAD,ALBERTI,1048,,Balvanera,3
-58.487831,-34.648036,AMANECER,AV DIRECTORIO,4675,,Parque Avellaneda,9
-58.419688,-34.609737,SIEMPRE PRIMAVERA- ASOCIACION CIVIL,BARTOLOME MITRE,3788,,Almagro,5
-58.419153,-34.623615,GRUPO PARA VIVIR MEJOR,CASTRO BARROS,966,,Boedo,5
-58.419066,-34.604383,FLORECER DE ALMAGRO,GOMEZ VALENTIN,3863,,Almagro,5
-58.426893,-34.620739,27 DE OCTUBRE,MU,607,,Almagro,5
-58.426678,-34.611198,DULCES ENCUENTROS,QUERANDIES,4290,,Almagro,5
-58.385944,-34.616493,LA CASA DE ANGELA,SAN JOSE,683,,Monserrat,1
-58.430405,-34.629634,DEL BICENTENARIO,VIEL,1070,,Parque Chacabuco,7
-58.414202,-34.617825,SAN CRISTOBAL,VIRREY LINIERS,575,,Almagro,5
-58.452559,-34.610938,MI ESPERANZA,GAONA,1730,,CABALLITO,6
-58.457669,-34.623095,VERDE ESPERANZA,Bogotá,1920,,Flores,7
-58.454479,-34.609947,NUESTRA SENORA DE LOS BUENOS AIRES,PAYSANDU,1221,,Caballito,6
-58.524803,-34.6357,VOLVER A VIVIR,RESERVISTAS ARGENTINOS,452,,Liniers,9
-58.457536,-34.623131,YO SOY LUZ,TERRERO,300,,Flores,7
-58.441038,-34.618807,DAR AMOR,YERBAL,719,,Caballito,6
-58.442199,-34.619338,NUESTRO TIEMPO DE CABALLITO,YERBAL,813,,Caballito,6
-58.453366,-34.636421,COMPARTIENDO ALEGRIAS,LAUTARO,866,,Flores,7
-58.455797,-34.644311,ABUELOS PORTEÑOS,ALVAREZ CRISOSTOMO,2725,,Flores,7
-58.460524,-34.651552,PINTITAS,AV. MARIANO ACOSTA,2005,,PARQUE AVELLANEDA,7
-58.460561,-34.642959,REEMPEZAR,AV.PERON EVA,3100,,Flores,7
-58.431837,-34.629664,AMIGOS DEL PARQUECITO,BEAUCHEFF,1050,,Parque Chacabuco,7
-58.469591,-34.620505,LA FABRICA,BOLIVIA,932,,Flores,7
-58.46615,-34.633854,EL TIEMPO DE LOS SUEÑOS,BONIFACIO JOSE,2757,,Flores,7
-58.46069,-34.62074,VOLVER A VIVIR DIAS FELICES,BOYACA AV,561,,Flores,7
-58.440809,-34.644127,LOS GALANCITOS,CAMILO TORRES,2050,,FLORES,7
-58.445075,-34.642089,MONSEÑOR VERNAZZA,CARABOBO AV,1602,,Parque Chacabuco,7
-58.440122,-34.643368,LA RAZON DE VIVIR,COBO AV,1780,,PARQUE CHACABUCO,7
-58.423936,-34.640336,EL SUR DE LOS ABUELITOS,COBO AV,526,,Nueva Pompeya,4
-58.464993,-34.634199,LOS AÑOS FELICES,CULPINA,350,,Flores,7
-58.466527,-34.630964,HORAS INOLVIDABLES,CULPINA,75,,Flores,7
-58.447063,-34.635102,CENTRO CULTURAL Y RECREATIVO PARA LA TERCERA EDAD,CURAPALIGUE AV,1040,,Parque Chacabuco,7
-58.432283,-34.643527,VIVIR EN AMISTAD,DEL BARCO CENTENERA,2141,,Parque Chacabuco,7
-58.453285,-34.636386,PASELO BIEN,LAUTARO,860,,Flores,7
-58.432482,-34.638951,NUESTRA ESPERANZA,DEL BARCO CENTENERA,1762,,Parque Chacabuco,7
-58.463224,-34.627355,PLAZA FLORES,FRAY CAYETANO RODRIGUEZ,115,,Flores,7
-58.453897,-34.635096,CELEBRAR LA VIDA,LAUTARO,722,,Flores,7
-58.465375,-34.647303,MOMENTOS FELICES,MARIANO ACOSTA,1544,,Parque Avellaneda,9
-58.464364,-34.643893,AMOR MAS AMOR,MARTI JOSE,1130,,Flores,7
-58.439641,-34.631344,CLUB DE LA TERCERA EDAD CASA FELIZ,PASAJE DEL PROGRESO,948,,PARQUE CHACABUCO,7
-58.437615,-34.637484,NUEVA ESPERANZA,CASTA,1377,,Flores,7
-58.454677,-34.639662,UN LUGAR DIFERENTE,AVENIDA EVA PERON,2385,,Flores,7
-58.455486,-34.641086,UN NUEVO HOGAR,PERRAULT,1134,,Flores,7
-58.43509,-34.636603,ENCUENTRO VECINAL SUR,PICHEUTA,1517,,Parque Chacabuco,7
-58.468613,-34.641855,EL ESFUERZO DE LOS ABUELOS,PORTELA,836,,Flores,7
-58.46605,-34.640948,CRECER EN SOLIDARIDAD,QUIRNO,790,,FLORES,7
-58.43657,-34.631531,CLUB DE LA TERCERA EDAD SANTA ISABEL DE HUNGRIA,SAN JOSE DE CALASANZ,1049,,Parque Chacabuco,7
-58.473949,-34.637492,AMOR Y VIDA,AV DIRECTORIO,3439,,Floresta,10
-58.432919,-34.634935,EL ENCANTO POR LA VIDA,SANTANDER,915,,Parque Chacabuco,7
-58.491816,-34.677758,LA LUZ DE EVA,MONTIEL,3995,,Villa Lugano,8
-58.476248,-34.678971,COMPARTIENDO SUE�OS,CAFAYATE,4295,,Villa Lugano,8
-58.433863,-34.661196,LA NUEVA ESPERANZA,CARLOS MARIA RAMIREZ,2689,,Villa Soldati,8
-58.462716,-34.686015,EL PARAJE DE LA ALEGRIA,CEFERINO RAMIREZ,5656,,Villa Lugano,8
-58.471087,-34.682146,CAÑADA DE GOMEZ,CHILAVERT,5819,,Villa Lugano,8
-58.476219,-34.685586,NUESTRO RINCONCITO,COSQUIN,4748,,VILLA RIACHUELO,8
-58.463291,-34.687105,CENTRO SOCIAL Y CULTURAL COMPARTIR,COSTAMAGNA SANTIAGO,5761,,Villa Lugano,8
-58.487114,-34.663706,LUGANO CENTRAL,"DE LA ROSA, JOSE I., DR.",5945,,VILLA RIACHUELO,8
-58.468236,-34.688053,RENACER 2001,DE LA TORRE LISANDRO AV,5151,,Mataderos,9
-58.471902,-34.685184,ASOCIACION DE JUB Y PENS DE VILLA LUGANO,DE LA TORRE LISANDRO AV,4837,,Mataderos,9
-58.464408,-34.683087,CORAZONES AMIGOS,DESCALZI NICOLAS,5586,,Villa Lugano,8
-58.492719,-34.679541,HIMNO A LA VIDA,GOLETA SANTA CRUZ,6873,,Villa Lugano,8
-58.473519,-34.690158,CENTRO SOCIAL Y CULTURAL DE LA TERCERA EDAD FLORECER,GUAMINI,5202,,VILLA LUGANO,8
-58.486455,-34.663377,GENTE COMO UNO,LARRAYA,2707,,Villa Lugano,8
-58.483696,-34.667497,PAMPERO,LARRAZABAL,3033,,Villa Lugano,8
-58.484975,-34.671169,RINCON FELIZ,LEGUIZAMON MARTINIANO,3434,,Villa Lugano,8
-58.469595,-34.692339,ARCO IRIS DE LUGANO CLUB SOCIAL Y DEPORTIVO 9 DE JULIO,MADARIAGA,6526,,Villa Riachuelo,8
-58.459975,-34.68579,9 DE JULIO,MARTIN GUERRICO,5431,,Villa Lugano,8
-58.484795,-34.670008,LUGANO EN MARCHA,MURGUIONDO,3384,,Villa Lugano,8
-58.480373,-34.671788,TIEMPO FELIZ,OLIDEN,3604,,Villa Lugano,8
-58.489823,-34.664646,AMIGOS Y ABUELOS DEL BARRIO,OLIDEN,2821,,Villa Lugano,8
-58.440714,-34.663961,QUINTA DEL MOLINO,PORTELA,3370,,Villa Soldati,8
-58.46852,-34.657445,DE LA TERCERA EDAD Y ACTIVIDADES INTERMEDIAS JUAN JOSE NAGERA,SANTANDER,4041,,Parque Avellaneda,9
-58.478026,-34.666331,ALBARINO,SANTANDER,5112,,Villa Lugano,8
-58.48005,-34.671389,LA LUZ DE SILVIA,SARAZA,5564,,Villa Lugano,8
-58.465543,-34.682975,MI ESPERANZA,SOLDADO DE LA FRONTERA,5012,,Villa Lugano,8
-58.496746,-34.621864,DE LA TERCERA EDAD 8 DE OCTUBRE,San Blas,4369,,Floresta,10
-58.475026,-34.664462,RUCA MALEM,ARAUJO,2950,,Villa Lugano,8
-58.485996,-34.647274,RAZONES PARA VIVIR,AV BRUIX,4354,,Parque Avellaneda,9
-58.509715,-34.665561,MOMENTOS DE AMIGOS,AV DIRECTORIO,7315,,Mataderos,9
-58.509852,-34.665036,LOS ABUELOS DE MATADEROS,JOSE LEON SUAREZ,2476,,Mataderos,9
-58.523544,-34.651486,LA ARMONIA,CAAGUAZU,7300,,Liniers,9
-58.493842,-34.65166,SUENOS DEL ALMA,CHASCOMUS,5240,,Mataderos,9
-58.517458,-34.652556,ARMANDO F. CANZZIANI,COSQUIN,1365,,Liniers,9
-58.529183,-34.647312,LINIERS SUR,GRAL PAZ  AV.,11297,,Liniers,9
-58.472925,-34.651892,FLORENTINO AMEGHINO,LA FACULTAD,1772,,Parque Avellaneda,9
-58.524222,-34.641491,POR SIEMPRE JUNTOS,IBARROLA,6955,,Liniers,9
-58.525691,-34.649658,DESHOJANDO MARGARITAS,MONTIEL,968,,Liniers,9
-58.503474,-34.647446,GANAS DE VIVIR,POLA,934,,Mataderos,9
-58.521403,-34.636559,LA PORTENA,RESERVISTAS ARGENTINOS,219,,Liniers,9
-58.476921,-34.658358,ESTRELLA,SARAVIA,2267,,Parque Avellaneda,9
-58.491778,-34.64623,EL HORNERO,TAPALQUE,4834,,Parque Avellaneda,9
-58.51962,-34.627428,DE VILLA REAL,ARREGUI,6013,,Versalles,10
-58.509055,-34.619768,SAN PEDRO APOSTOL,BERMUDEZ,2011,,Monte Castro,10
-58.511846,-34.625218,LOS GURISES,BOLONIA,5382,,Villa Luro,10
-58.500433,-34.625123,MI CASITA,CAMARONES,4796,,Vélez Sarsfield,10
-58.49468,-34.631633,7 DE JUNIO,BERMUDEZ,536,,Villa Luro,10
-58.514968,-34.617349,RINCON DE AMIGOS FRANCISCO MANRIQUE,CERVANTES,2481,,Villa Devoto,11
-58.50959,-34.623525,CERVANTES,CALDERON DE LA BARCA,1733,,Monte Castro,10
-58.509886,-34.659277,ANGELITA,BRAGADO,6875,,Mataderos,9
-58.50078,-34.638585,ALFONSINA STORNI,DANTE,81,,Villa Luro,10
-58.50227,-34.631574,ROSAS DE OTOÑO,DIAZ CESAR,5311,,Villa Luro,10
-58.494459,-34.638111,VILLA LURO CENTRAL,FALCON RAMON L,4780,,Villa Luro,10
-58.525116,-34.631342,AGRUPACION AFILIADOS A PAMI 2,GALLARDO,616,,Versalles,10
-58.509638,-34.629711,DR RAMON CARRILLO,GARCIA JUAN A.,5566,,Villa Luro,10
-58.495545,-34.622723,MORDISQUITO,CAMARONES,4356,,Floresta,10
-58.527065,-34.620288,ASOC CIVIL RECREATIVO DE JUB Y PENS PLAZA VILLA REAL,IRIGOYEN,2340,,Villa Real,10
-58.528436,-34.630858,LOS AMIGOS DE VERSAILLES,LASCANO,6888,,Versalles,10
-58.496956,-34.642674,RINCON DE LA AMISTAD GRUPO HIV,LEOPARDI,443,,Villa Luro,10
-58.496871,-34.624914,LA PRIMAVERA DE LA VIDA,MAGARI,4546,,Vélez Sarsfield,10
-58.494545,-34.639845,FELICIDAD,HOMERO,243,,Villa Luro,10
-58.5092,-34.613648,PLENO VIVIR,PASAJE BOSTON,2775,,Villa Devoto,11
-58.479059,-34.635756,DE CIEGOS Y DISMINUIDOS VISUALES,RAFAELA,3786,,Floresta,10
-58.524803,-34.6357,VOLVER A VIVIR,RESERVISTAS ARGENTINOS,452,,Liniers,9
-58.514365,-34.603063,ABUELOS UNIDOS,RICARDO GUTIERREZ,4302,,Villa Devoto,11
-58.496746,-34.621864,8 DE OCTUBRE,SAN BLAS,4369,,Floresta,10
-58.509722,-34.631444,ABUELOS DE VILLA LURO,SAN BLAS,5462,,Villa Luro,10
-58.503173,-34.614858,LUCES DE BUENOS AIRES,SANABRIA,2350,,Monte Castro,10
-58.493808,-34.624915,SUYAI,SEGUROLA AV.,1174,,Floresta,10
-58.513943,-34.6272,LA MUCHACHADA DEL AYER,VICTOR HUGO,1351,,VERSALLES,10
-58.519515,-34.619947,PLAZA TERAN,MELINCUE,5400,,Villa Real,10
-58.497516,-34.6362,DE VILLA LURO LA AMISTAD,YERBAL,5025,,Villa Luro,10
-58.494422,-34.581582,ARGENTINA NUESTRO HOGAR,av mosconi,2210,,Villa Pueyrredón,12
-58.512129,-34.617494,DOÑA FILOMENA,BERMUDEZ,2316,,Monte Castro,10
-58.521478,-34.610241,AMOR Y PAZ,BERMUDEZ,3351,,Villa Devoto,11
-58.464833,-34.615372,ESENCIA DE VIDA,BOYACA,1120,,Villa General Mitre,11
-58.464889,-34.615299,14 DE MAYO DE 1989,BOYACA AV,1132,,Villa General Mitre,11
-58.474627,-34.608747,ASOC DE LA TERCERA EDAD SARMIENTO EL SAUCE,BUFANO ALFREDO DR,2030,,Villa General Mitre,11
-58.513339,-34.620965,RAMON CARRILLO DE VILLA DEVOTO,CALDERON DE LA BARCA,2086,,Monte Castro,10
-58.487759,-34.616142,HOMERO MANZI,CAMARONES,3487,,Villa Santa Rita,11
-58.475306,-34.605671,CARACAS,CARACAS,2321,,Villa del Parque,11
-58.476747,-34.60396,ESQUINA DE ENCUENTRO,CARACAS,2500,,Villa del Parque,11
-58.486261,-34.618439,VOLVER A EMPEZAR,DIAZ CESAR GRAL,3550,,Villa Santa Rita,11
-58.459721,-34.603331,12 DE OCTUBRE,FRAGATA SARMIENTO,1951,,VILLA CRESPO,11
-58.462106,-34.611259,PRONAPO,Galicia,1794,,Villa General Mitre,11
-58.498881,-34.61053,EL ALBA,GONZALEZ JOAQUIN V.,2469,,Villa del Parque,11
-58.514365,-34.603063,SOLAMENTE AMIGOS,GUTIERREZ RICARDO,4302,,Villa Devoto,11
-58.505677,-34.594028,CENTRO CULTURAL Y SOCIAL EVA DUARTE,LAVALLOL,4210,,Villa Devoto,11
-58.508943,-34.585553,JUVENILLA,CUENCA,5089,,Villa Pueyrredón,12
-58.499126,-34.60254,LOS AUTENTICOS DE VILLA DEL PARQUE,Tinogasta,3455,,Villa del Parque,11
-58.492457,-34.611361,TITA MERELLO,MARTIN PESCADOR,2167,,Villa del Parque,11
-58.491358,-34.602565,LA FLOR DEL PARQUE,NOGOYA,3045,,Villa del Parque,11
-58.510127,-34.613767,NUESTRO MUNDO FELIZ,NOGOYA,4682,,Villa Devoto,11
-58.498778,-34.606885,HUGO DEL CARRIL DE VILLA DEL PARQUE,NOGOYA,3705,,Villa del Parque,11
-58.510548,-34.614016,DEVOTO SUR,NOGOYA,4712,,Villa Devoto,11
-58.511817,-34.615239,DR RAMON CARRILLO 1� ASOCIACION CIVIL,POSADAS ALEJANDRO,2760,,Villa Devoto,11
-58.52159,-34.608844,ABUELOS SIGLO XXI,QUEVEDO,3770,,Villa Devoto,11
-58.483627,-34.612531,14 DE MAYO,SAN BLAS,3075,,VILLA GRAL. MITRE,11
-58.48979,-34.597174,REJUVENECER EL ATARDECER,SAN MARTIN AV.,5125,,Agronomía,15
-58.48979,-34.597174,SAGRADO CORAZON,SAN MARTIN AV.,5125,,Agronomía,15
-58.497229,-34.610851,CARLOS CARELLA,SAN NICOLAS,2394,,Villa del Parque,11
-58.503995,-34.613872,CAPICUA,SANABRIA,2442,,Monte Castro,10
-58.468886,-34.60277,LA PATERNAL,SANCHEZ,2256,,Villa General Mitre,11
-58.507874,-34.576325,"CLUB DE LA TERCERA JUVENTUD-DELEGACION RINCON ARGENTINO ""LA CASA DE EVA PERON""",ALBARELLOS,2705,,Villa Pueyrredón,12
-58.494826,-34.5702,LOS CAMINANTES,ANDONAEGUI,3148,,VILLA URQUIZA,12
-58.485679,-34.551488,CASA DEL JUBILADO,BESARES,3933,,Saavedra,12
-58.488569,-34.573217,DEL CARMEN DE URQUIZA TERCERA EDAD,CULLEN,5115,,VILLA URQUIZA,12
-58.501989,-34.573005,EL REENCUENTRO DE LOS AMIGOS,IBERA,6085,,Villa Urquiza,12
-58.509761,-34.579865,LUNA BU,LARSEN,2990,,Villa Pueyrredón,12
-58.475699,-34.575355,SAAVEDRA-URQUIZA,LUGONES,1955,,Villa Urquiza,12
-58.49243,-34.551559,ARGENTINA EN MOVIMIENTO,MACHA,4516,,Saavedra,12
-58.49623,-34.564146,EL FUTURO,AV. triunvirato,5852,,Villa Urquiza,12
-58.483108,-34.569504,SIEMPRE JUNTOS DE VILLA URQUIZA,RIVERA PEDRO I,4671,,Villa Urquiza,12
-58.473265,-34.566898,JUNTOS,ROMULO NAON,2500,,Villa Urquiza,12
-58.483396,-34.549324,CONVIVENCIA FELIZ,RUIZ HUIDOBRO,3538,,Saavedra,12
-58.482998,-34.547467,ESTRELLAS DE SAAVEDRA,SUPERI,4437,,Saavedra,12
-58.49799,-34.588896,AMISTAD Y LIBERTAD,TERRADA,4243,,Villa Pueyrredón,12
-58.493259,-34.567894,NUESTRA CASA,TRIUNVIRATO AV.,5537,,Villa Urquiza,12
-58.466632,-34.555341,2 DE ABRIL-MALVINAS ARGENTINAS,MOLDES,3045,,Núñez,13
-58.467446,-34.559117,DE ADULTOS MAYORES QUE SABEN VIVIR,UGARTE MANUEL,2991,,BELGRANO,13
-58.458544,-34.573208,FORTALEZA,VIRREY AVILES,3167,,Colegiales,13
-58.455304,-34.561952,GRUPO DE TERCERA EDAD ARDILLAS,VUELTA DE OBLIGADO,2042,,Belgrano,13
-58.422587,-34.592417,PARTICIPANDO,GASCON,1549,,PALERMO,14
-58.422855,-34.59451,ARMONIA DE LA PARROQUIA SANTA LUCIA DE PALERMO,GASCON,1375,,Palermo,14
-58.424693,-34.584387,PARTICIPAR,PARAGUAY,4534,,Palermo,14
-58.443213,-34.585072,AMANECER DE PRIMAVERA,RAVIGNANI EMILIO DR.,1330,,Palermo,14
-58.439986,-34.597596,VILLA CRESPO CENTRAL,ACEVEDO,460,,VILLA CRESPO,15
-58.479094,-34.587898,AMISTAD Y UNION,ANDONAEGUI,1246,,Parque Chas,15
-58.459885,-34.60345,AMIGOS POR EL TEJO,FRAGATA SARMIENTO,1942,,Paternal,15
-58.476851,-34.584908,AMIGOS DEL VILLA MODELO,ARISMENDI,2686,,Parque Chas,15
-58.478116,-34.58579,DE TERCERA EDAD LA ESPERANZA DE PARQUE CHAS,ARISMENDI,2801,,PARQUE CHAS,15
-58.465326,-34.614535,AMIGOS DE VILLA MITRE,AVENIDA BOYACA,1293,,Villa General Mitre,11
-58.469623,-34.58213,A EMPEZAR,AV. CHORROARIN,1260,,VILLA URQUIZA,15
-58.452683,-34.586465,JOVENES DEL TERCER MILENIO-ASOCIACION CIVIL,AV. FOREST,455,,Chacarita,15
-58.479161,-34.582158,EL LABERINTO DE PARQUE CHAS,AV. GRAL. BENJAMIN VICTORICA,2642,,Parque Chas,15
-58.445475,-34.589853,DR RENE G FAVALORO (EX BONPLAND),BONPLAND,860,,Chacarita,15
-58.442962,-34.597825,22 DE AGOSTO,CAMARGO,825,,Villa Crespo,15
-58.469627,-34.582402,ABUELOS DE VILLA ORTUZAR,CHORROARIN AV,1236,,Villa Ortúzar,15
-58.471938,-34.580436,JUSTICIA SOCIAL,CHARLONE,2185,,LA PATERNAL,15
-58.469075,-34.593296,LA ISLA DE LA PATERNAL,DONATO ALVAREZ,2696,,Paternal,15
-58.468379,-34.587906,EL FORTIN DE VILLA ORTUZAR,ESTOMBA,294,,Villa Ortúzar,15
-58.452148,-34.586156,CHACARITA COLEGIALES,GUEVARA,525,,Chacarita,15
-58.476443,-34.58662,UNIDOS PARA SIEMPRE,LLERENA,2727,,Parque Chas,15
-58.467065,-34.601571,DE VIDA EN AMOR,MANUEL RICARDO TRELLES,2349,,Paternal,15
-58.458412,-34.595958,"TIERRA, TECHO Y TRABAJO",NEWBERY JORGE,4866,,Chacarita,15
