FUNCION_PRINCIPAL,ESTABLECIMIENTO,CALLE,ALTURA,BARRIO,COMUNA,DIRECCION,LONGITUD,LATITUD,TELEFONO,MAIL,WEB,FACEBOOK,TWITTER,INSTAGRAM,CAPACIDAD_TOTAL
CALESITA,CALESITA A LOS SUEÑOS DE LOS NIÑOS DE LA PLAZA UNIDAD NACIONAL,MURGUIONDO,,VILLA LUGANO,COMUNA 8,"MURGUIONDO, CABA",-58.47696806,-34.67686111,,,,,,,0
CALESITA,CALESITA DE DON PEPE,HERRERA,,BARRACAS,COMUNA 4,"HERRERA, CABA",-58.37746479,-34.63796084,,,,,,,0
CALESITA,CALESITA DE LA ALEGRIA DE LA PLAZA ARISTOBULO DEL VALLE,CAMPANA,,VILLA DEL PARQUE,COMUNA 11,"CAMPANA, CABA",-58.49312382,-34.60612804,,,,,,,0
CALESITA,CALESITA DE LA ESTACION FLORESTA,SEGUROLA AV.,,FLORESTA,COMUNA 10,"SEGUROLA AV., CABA",-58.48327692,-34.63305464,,,,,,,0
CALESITA,CALESITA DE LA PLAZA 25 DE AGOSTO,CHARLONE,,VILLA ORTUZAR,COMUNA 15,"CHARLONE, CABA",-58.46208581,-34.58056596,,,,,,,0
CALESITA,CALESITA DE LA PLAZA BALCARCE,VUELTA DE OBLIGADO,,NUÑEZ,COMUNA 13,"VUELTA DE OBLIGADO, CABA",-58.46804063,-34.54756919,,,,,,,0
CALESITA,CALESITA DE LA PLAZA CAMPAÑA DEL DESIERTO,MALABIA,,PALERMO,COMUNA 14,"MALABIA, CABA",-58.42453231,-34.58894964,,,,,,,0
CALESITA,CALESITA DE LA PLAZA ECHEVERRIA,NAHUEL HUAPI,,VILLA URQUIZA,COMUNA 12,"NAHUEL HUAPI, CABA",-58.48987179,-34.57202727,,,,,,,0
CALESITA,CALESITA DE LA PLAZA GENERAL PUEYRREDON,YERBAL,,FLORES,COMUNA 7,"YERBAL, CABA",-58.46372317,-34.62808868,,,,,,,0
CALESITA,CALESITA DE LA PLAZA MARTIN FIERRO,BARCALA,,SAN CRISTOBAL,COMUNA 3,"BARCALA, CABA",-58.40858964,-34.62575784,,,,,,,0
CALESITA,CALESITA DE LA PLAZA MISERICORDIA,LAUTARO,,FLORES,COMUNA 7,"LAUTARO, CABA",-58.45536451,-34.63259145,,,,,,,0
