eleccion_tipo,seccion_nombre,circuito_nombre,mesa_id,mesa_electores,agrupacion_nombre,votos_tipo,votos_cantidad
GENERAL,Comuna 01,1,1,345,UNION POR LA PATRIA,POSITIVO,96
GENERAL,Comuna 01,1,1,345,JUNTOS POR EL CAMBIO,POSITIVO,65
GENERAL,Comuna 01,1,1,345,LA LIBERTAD AVANZA,POSITIVO,44
GENERAL,Comuna 01,1,1,345,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,13
GENERAL,Comuna 01,1,1,345,HACEMOS POR NUESTRO PAIS,POSITIVO,4
GENERAL,Comuna 01,1,1,345,,EN BLANCO,8
GENERAL,Comuna 01,1,1,345,,NULO,3
GENERAL,Comuna 01,1,1,345,,IMPUGNADO,0
GENERAL,Comuna 01,1,1,345,,RECURRIDO,0
GENERAL,Comuna 01,1,1,345,,COMANDO,0
GENERAL,Comuna 01,1,2,339,UNION POR LA PATRIA,POSITIVO,102
GENERAL,Comuna 01,1,2,339,JUNTOS POR EL CAMBIO,POSITIVO,86
GENERAL,Comuna 01,1,2,339,LA LIBERTAD AVANZA,POSITIVO,38
GENERAL,Comuna 01,1,2,339,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,6
GENERAL,Comuna 01,1,2,339,HACEMOS POR NUESTRO PAIS,POSITIVO,4
GENERAL,Comuna 01,1,2,339,,EN BLANCO,1
GENERAL,Comuna 01,1,2,339,,NULO,1
GENERAL,Comuna 01,1,2,339,,IMPUGNADO,0
GENERAL,Comuna 01,1,2,339,,RECURRIDO,0
GENERAL,Comuna 01,1,2,339,,COMANDO,0
GENERAL,Comuna 01,1,3,342,UNION POR LA PATRIA,POSITIVO,97
GENERAL,Comuna 01,1,3,342,JUNTOS POR EL CAMBIO,POSITIVO,84
GENERAL,Comuna 01,1,3,342,LA LIBERTAD AVANZA,POSITIVO,35
GENERAL,Comuna 01,1,3,342,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,6
GENERAL,Comuna 01,1,3,342,HACEMOS POR NUESTRO PAIS,POSITIVO,5
GENERAL,Comuna 01,1,3,342,,EN BLANCO,3
GENERAL,Comuna 01,1,3,342,,NULO,4
GENERAL,Comuna 01,1,3,342,,IMPUGNADO,0
