,eleccion_tipo,seccion_nombre,circuito_nombre,mesa_id,mesa_electores,agrupacion_nombre,votos_tipo,votos_cantidad
0,SEGUNDA VUELTA,Comuna 01,1,1,345,UNION POR LA PATRIA,POSITIVO,135
1,SEGUNDA VUELTA,Comuna 01,1,1,345,LA LIBERTAD AVANZA,POSITIVO,95
2,SEGUNDA VUELTA,Comuna 01,1,1,345,undefined,EN BLANCO,3
3,SEGUNDA VUELTA,Comuna 01,1,1,345,undefined,NULO,3
4,SEGUNDA VUELTA,Comuna 01,1,1,345,undefined,IMPUGNADO,0
5,SEGUNDA VUELTA,Comuna 01,1,1,345,undefined,RECURRIDO,0
6,SEGUNDA VUELTA,Comuna 01,1,2,339,UNION POR LA PATRIA,POSITIVO,112
7,SEGUNDA VUELTA,Comuna 01,1,2,339,LA LIBERTAD AVANZA,POSITIVO,108
8,SEGUNDA VUELTA,Comuna 01,1,2,339,undefined,EN BLANCO,3
9,SEGUNDA VUELTA,Comuna 01,1,2,339,undefined,NULO,9
10,SEGUNDA VUELTA,Comuna 01,1,2,339,undefined,IMPUGNADO,0
11,SEGUNDA VUELTA,Comuna 01,1,2,339,undefined,RECURRIDO,0
12,SEGUNDA VUELTA,Comuna 01,1,3,342,UNION POR LA PATRIA,POSITIVO,114
13,SEGUNDA VUELTA,Comuna 01,1,3,342,LA LIBERTAD AVANZA,POSITIVO,103
14,SEGUNDA VUELTA,Comuna 01,1,3,342,undefined,EN BLANCO,5
15,SEGUNDA VUELTA,Comuna 01,1,3,342,undefined,NULO,4
16,SEGUNDA VUELTA,Comuna 01,1,3,342,undefined,IMPUGNADO,0
17,SEGUNDA VUELTA,Comuna 01,1,3,342,undefined,RECURRIDO,0
18,SEGUNDA VUELTA,Comuna 01,1,4,345,UNION POR LA PATRIA,POSITIVO,135
19,SEGUNDA VUELTA,Comuna 01,1,4,345,LA LIBERTAD AVANZA,POSITIVO,104
20,SEGUNDA VUELTA,Comuna 01,1,4,345,undefined,EN BLANCO,10
21,SEGUNDA VUELTA,Comuna 01,1,4,345,undefined,NULO,2
22,SEGUNDA VUELTA,Comuna 01,1,4,345,undefined,IMPUGNADO,0
23,SEGUNDA VUELTA,Comuna 01,1,4,345,undefined,RECURRIDO,0
24,SEGUNDA VUELTA,Comuna 01,1,5,351,UNION POR LA PATRIA,POSITIVO,130
25,SEGUNDA VUELTA,Comuna 01,1,5,351,LA LIBERTAD AVANZA,POSITIVO,122
26,SEGUNDA VUELTA,Comuna 01,1,5,351,undefined,EN BLANCO,4
27,SEGUNDA VUELTA,Comuna 01,1,5,351,undefined,NULO,5
28,SEGUNDA VUELTA,Comuna 01,1,5,351,undefined,IMPUGNADO,0
29,SEGUNDA VUELTA,Comuna 01,1,5,351,undefined,RECURRIDO,0
30,SEGUNDA VUELTA,Comuna 01,1,6,343,UNION POR LA PATRIA,POSITIVO,154
31,SEGUNDA VUELTA,Comuna 01,1,6,343,LA LIBERTAD AVANZA,POSITIVO,91
32,SEGUNDA VUELTA,Comuna 01,1,6,343,undefined,EN BLANCO,3
33,SEGUNDA VUELTA,Comuna 01,1,6,343,undefined,NULO,3
34,SEGUNDA VUELTA,Comuna 01,1,6,343,undefined,IMPUGNADO,0
35,SEGUNDA VUELTA,Comuna 01,1,6,343,undefined,RECURRIDO,0
36,SEGUNDA VUELTA,Comuna 01,1,7,342,UNION POR LA PATRIA,POSITIVO,133
37,SEGUNDA VUELTA,Comuna 01,1,7,342,LA LIBERTAD AVANZA,POSITIVO,102
38,SEGUNDA VUELTA,Comuna 01,1,7,342,undefined,EN BLANCO,6
39,SEGUNDA VUELTA,Comuna 01,1,7,342,undefined,NULO,4
40,SEGUNDA VUELTA,Comuna 01,1,7,342,undefined,IMPUGNADO,0
41,SEGUNDA VUELTA,Comuna 01,1,7,342,undefined,RECURRIDO,0
42,SEGUNDA VUELTA,Comuna 01,1,8,339,UNION POR LA PATRIA,POSITIVO,133
43,SEGUNDA VUELTA,Comuna 01,1,8,339,LA LIBERTAD AVANZA,POSITIVO,115
44,SEGUNDA VUELTA,Comuna 01,1,8,339,undefined,EN BLANCO,5
